hometeamname,awayteamname,season,winner_binary,home_teamscore,home_assists,home_reboundsdefensive,home_reboundsoffensive,home_reboundstotal,home_steals,home_blocks,home_turnovers,home_foulspersonal,home_fieldgoalsmade,home_fieldgoalsattempted,home_fieldgoalspercentage,home_threepointersmade,home_threepointersattempted,home_threepointerspercentage,home_freethrowsmade,home_freethrowsattempted,home_freethrowspercentage,home_plusminuspoints,away_teamscore,away_assists,away_reboundsdefensive,away_reboundsoffensive,away_reboundstotal,away_steals,away_blocks,away_turnovers,away_foulspersonal,away_fieldgoalsmade,away_fieldgoalsattempted,away_fieldgoalspercentage,away_threepointersmade,away_threepointersattempted,away_threepointerspercentage,away_freethrowsmade,away_freethrowsattempted,away_freethrowspercentage,away_plusminuspoints,home_number_of_picks,home_average_overall_pick,away_number_of_picks,away_average_overall_pick
Raptors,Suns,2014-2015,1,101.02,20.73,31.43,11.26,42.69,6.98,4.08,14.7,23.5,36.1,80.91,0.45,8.4,23.02,0.36,20.42,25.89,0.79,3.21,104.67,19.16,31.84,11.39,43.23,8.38,4.62,15.66,22.15,38.68,83.64,0.46,9.19,24.84,0.37,18.11,24.17,0.74,2.69,,,3.0,30.666666666666668
Hornets,Clippers,2014-2015,0,,,,,,,,,,,,,,,,,,,,107.32,24.41,31.86,10.44,42.3,8.7,4.86,13.91,22.26,38.82,82.58,0.47,8.49,24.04,0.35,21.2,28.99,0.73,6.06,,,1.0,25.0
Cavaliers,Magic,2014-2015,1,97.67,21.23,32.04,12.23,44.28,7.21,3.78,14.8,20.71,36.59,84.46,0.43,7.04,19.98,0.35,17.44,23.18,0.75,-3.16,96.46,20.88,32.27,10.03,42.3,7.73,4.5,15.41,20.86,36.87,82.78,0.45,6.83,19.54,0.35,15.89,20.94,0.76,-5.34,4.0,21.0,2.0,26.5
76ers,Trail Blazers,2014-2015,0,99.17,21.82,31.31,11.62,42.93,9.38,4.11,17.14,22.7,37.61,87.1,0.43,7.06,22.62,0.31,16.89,23.84,0.71,-10.27,105.67,22.32,34.2,12.36,46.56,5.57,4.89,14.29,19.94,38.63,86.52,0.45,9.04,24.73,0.36,19.37,23.98,0.81,3.16,3.0,29.333333333333332,4.0,33.5
Lakers,Nuggets,2014-2015,0,102.37,24.22,32.01,9.02,41.03,7.36,5.3,15.47,19.99,37.84,84.81,0.45,9.36,24.86,0.37,17.32,22.77,0.76,-5.87,103.39,22.25,33.19,12.33,45.52,7.51,5.58,16.18,23.45,38.1,85.89,0.44,8.22,23.36,0.35,18.97,26.37,0.72,-2.52,1.0,48.0,1.0,27.0
Thunder,Warriors,2014-2015,0,104.91,21.41,33.9,10.92,44.81,7.94,6.15,15.46,22.79,38.27,82.27,0.47,7.85,22.44,0.35,20.51,25.44,0.8,5.06,103.54,23.35,33.97,11.1,45.07,8.01,4.99,15.55,22.31,39.08,85.39,0.46,9.33,24.73,0.38,16.04,21.47,0.75,4.0,3.0,24.333333333333332,,
Grizzlies,Clippers,2014-2015,1,95.54,21.71,30.79,11.57,42.36,7.86,4.33,13.86,19.55,37.49,82.12,0.46,4.88,14.24,0.34,15.69,21.39,0.73,0.3,107.32,24.41,31.86,10.44,42.3,8.7,4.86,13.91,22.26,38.82,82.58,0.47,8.49,24.04,0.35,21.2,28.99,0.73,6.06,3.0,52.0,1.0,25.0
Celtics,Trail Blazers,2014-2015,0,96.07,21.04,30.36,11.92,42.28,7.34,4.23,15.51,21.53,36.36,83.74,0.44,6.99,21.28,0.32,16.37,21.04,0.79,-4.13,105.67,22.32,34.2,12.36,46.56,5.57,4.89,14.29,19.94,38.63,86.52,0.45,9.04,24.73,0.36,19.37,23.98,0.81,3.16,1.0,16.0,4.0,33.5
Heat,Hornets,2014-2015,1,100.68,21.65,28.82,7.36,36.18,8.83,4.26,14.48,20.05,37.51,75.61,0.5,8.35,22.53,0.37,17.31,22.92,0.76,3.83,,,,,,,,,,,,,,,,,,,,,,,
Jazz,Pelicans,2014-2015,0,94.72,20.36,30.49,11.17,41.66,6.96,4.56,14.92,21.03,35.83,81.39,0.44,6.61,19.08,0.35,16.44,22.23,0.74,-6.81,99.83,21.11,30.22,11.17,41.39,8.17,6.21,14.26,22.93,37.68,82.01,0.46,6.07,15.97,0.38,18.41,23.87,0.77,-1.66,3.0,27.0,1.0,6.0
Bucks,Wizards,2014-2015,0,95.1,21.33,29.39,11.62,41.01,6.69,5.01,15.47,21.27,35.69,81.56,0.44,6.68,18.77,0.36,17.03,22.95,0.74,-7.78,99.1,22.71,31.61,10.93,42.54,8.27,4.76,14.79,20.69,37.93,83.68,0.45,7.62,20.59,0.37,15.62,21.55,0.72,1.76,2.0,29.0,3.0,31.666666666666668
Spurs,Nets,2014-2015,1,105.36,24.57,33.81,9.23,43.04,7.53,4.72,14.24,18.68,40.23,82.86,0.49,8.57,21.41,0.4,16.34,20.92,0.78,7.37,98.26,20.66,29.35,9.13,38.48,8.51,3.77,14.77,22.16,35.57,77.5,0.46,8.5,23.36,0.36,18.6,25.0,0.75,-0.31,2.0,43.0,1.0,22.0
Rockets,Mavericks,2014-2015,1,107.87,21.39,34.08,11.62,45.71,7.63,5.57,16.13,21.18,38.19,81.32,0.47,9.51,26.69,0.35,21.99,30.73,0.72,4.73,103.47,23.28,30.6,10.33,40.93,8.43,4.51,13.7,20.19,39.26,83.84,0.47,8.61,22.59,0.38,16.35,20.72,0.78,2.05,1.0,34.0,2.0,28.5
Timberwolves,Kings,2014-2015,0,106.72,23.62,32.25,12.52,44.77,8.74,3.7,14.01,18.64,38.61,87.19,0.44,7.47,21.57,0.34,22.02,28.4,0.78,3.07,100.43,19.12,32.56,11.97,44.53,7.3,3.75,15.36,22.47,36.83,82.38,0.45,6.15,18.25,0.33,20.62,27.26,0.76,-2.22,4.0,36.5,2.0,21.5
Cavaliers,Raptors,2014-2015,0,97.67,21.23,32.04,12.23,44.28,7.21,3.78,14.8,20.71,36.59,84.46,0.43,7.04,19.98,0.35,17.44,23.18,0.75,-3.16,101.02,20.73,31.43,11.26,42.69,6.98,4.08,14.7,23.5,36.1,80.91,0.45,8.4,23.02,0.36,20.42,25.89,0.79,3.21,4.0,21.0,,
Knicks,76ers,2014-2015,1,98.37,19.84,29.7,10.71,40.4,7.64,4.54,13.07,22.29,36.82,82.54,0.45,9.19,24.93,0.37,15.54,20.51,0.76,-1.22,99.17,21.82,31.31,11.62,42.93,9.38,4.11,17.14,22.7,37.61,87.1,0.43,7.06,22.62,0.31,16.89,23.84,0.71,-10.27,1.0,24.0,3.0,29.333333333333332
Pacers,Suns,2014-2015,0,95.72,19.8,33.67,9.83,43.5,6.75,5.2,14.91,20.72,35.3,79.06,0.45,6.84,19.03,0.36,18.27,23.89,0.77,3.51,104.67,19.16,31.84,11.39,43.23,8.38,4.62,15.66,22.15,38.68,83.64,0.46,9.19,24.84,0.37,18.11,24.17,0.74,2.69,2.0,38.0,3.0,30.666666666666668
Magic,Heat,2014-2015,0,96.46,20.88,32.27,10.03,42.3,7.73,4.5,15.41,20.86,36.87,82.78,0.45,6.83,19.54,0.35,15.89,20.94,0.76,-5.34,100.68,21.65,28.82,7.36,36.18,8.83,4.26,14.48,20.05,37.51,75.61,0.5,8.35,22.53,0.37,17.31,22.92,0.76,3.83,2.0,26.5,,
Warriors,Jazz,2014-2015,1,103.54,23.35,33.97,11.1,45.07,8.01,4.99,15.55,22.31,39.08,85.39,0.46,9.33,24.73,0.38,16.04,21.47,0.75,4.0,94.72,20.36,30.49,11.17,41.66,6.96,4.56,14.92,21.03,35.83,81.39,0.44,6.61,19.08,0.35,16.44,22.23,0.74,-6.81,,,3.0,27.0
Trail Blazers,Bulls,2014-2015,1,105.67,22.32,34.2,12.36,46.56,5.57,4.89,14.29,19.94,38.63,86.52,0.45,9.04,24.73,0.36,19.37,23.98,0.81,3.16,93.72,22.41,32.86,11.51,44.37,7.17,5.19,15.05,19.79,34.43,79.73,0.43,6.17,17.76,0.35,18.68,24.15,0.78,2.74,4.0,33.5,2.0,34.5
Nuggets,Pelicans,2014-2015,1,103.39,22.25,33.19,12.33,45.52,7.51,5.58,16.18,23.45,38.1,85.89,0.44,8.22,23.36,0.35,18.97,26.37,0.72,-2.52,99.83,21.11,30.22,11.17,41.39,8.17,6.21,14.26,22.93,37.68,82.01,0.46,6.07,15.97,0.38,18.41,23.87,0.77,-1.66,1.0,27.0,1.0,6.0
Mavericks,Lakers,2014-2015,1,103.47,23.28,30.6,10.33,40.93,8.43,4.51,13.7,20.19,39.26,83.84,0.47,8.61,22.59,0.38,16.35,20.72,0.78,2.05,102.37,24.22,32.01,9.02,41.03,7.36,5.3,15.47,19.99,37.84,84.81,0.45,9.36,24.86,0.37,17.32,22.77,0.76,-5.87,2.0,28.5,1.0,48.0
Grizzlies,Celtics,2014-2015,1,95.54,21.71,30.79,11.57,42.36,7.86,4.33,13.86,19.55,37.49,82.12,0.46,4.88,14.24,0.34,15.69,21.39,0.73,0.3,96.07,21.04,30.36,11.92,42.28,7.34,4.23,15.51,21.53,36.36,83.74,0.44,6.99,21.28,0.32,16.37,21.04,0.79,-4.13,3.0,52.0,1.0,16.0
Timberwolves,Spurs,2014-2015,0,106.72,23.62,32.25,12.52,44.77,8.74,3.7,14.01,18.64,38.61,87.19,0.44,7.47,21.57,0.34,22.02,28.4,0.78,3.07,105.36,24.57,33.81,9.23,43.04,7.53,4.72,14.24,18.68,40.23,82.86,0.49,8.57,21.41,0.4,16.34,20.92,0.78,7.37,4.0,36.5,2.0,43.0
Thunder,Nets,2014-2015,0,104.91,21.41,33.9,10.92,44.81,7.94,6.15,15.46,22.79,38.27,82.27,0.47,7.85,22.44,0.35,20.51,25.44,0.8,5.06,98.26,20.66,29.35,9.13,38.48,8.51,3.77,14.77,22.16,35.57,77.5,0.46,8.5,23.36,0.36,18.6,25.0,0.75,-0.31,3.0,24.333333333333332,1.0,22.0
Wizards,Cavaliers,2014-2015,1,99.1,22.71,31.61,10.93,42.54,8.27,4.76,14.79,20.69,37.93,83.68,0.45,7.62,20.59,0.37,15.62,21.55,0.72,1.76,97.67,21.23,32.04,12.23,44.28,7.21,3.78,14.8,20.71,36.59,84.46,0.43,7.04,19.98,0.35,17.44,23.18,0.75,-3.16,3.0,31.666666666666668,4.0,21.0
Hawks,Pistons,2014-2015,1,99.36,24.09,31.22,8.62,39.84,8.28,4.08,15.52,19.41,36.43,80.96,0.45,9.28,26.08,0.35,17.23,22.03,0.78,-1.24,100.46,20.82,31.0,14.25,45.25,8.42,4.79,15.02,20.64,38.31,85.91,0.45,6.27,19.34,0.32,17.56,26.06,0.67,-3.36,4.0,33.0,3.0,33.666666666666664
Raptors,Bucks,2014-2015,1,101.02,20.73,31.43,11.26,42.69,6.98,4.08,14.7,23.5,36.1,80.91,0.45,8.4,23.02,0.36,20.42,25.89,0.79,3.21,95.1,21.33,29.39,11.62,41.01,6.69,5.01,15.47,21.27,35.69,81.56,0.44,6.68,18.77,0.36,17.03,22.95,0.74,-7.78,,,2.0,29.0
Hornets,Magic,2014-2015,0,,,,,,,,,,,,,,,,,,,,96.46,20.88,32.27,10.03,42.3,7.73,4.5,15.41,20.86,36.87,82.78,0.45,6.83,19.54,0.35,15.89,20.94,0.76,-5.34,,,2.0,26.5
76ers,Suns,2014-2015,0,99.17,21.82,31.31,11.62,42.93,9.38,4.11,17.14,22.7,37.61,87.1,0.43,7.06,22.62,0.31,16.89,23.84,0.71,-10.27,104.67,19.16,31.84,11.39,43.23,8.38,4.62,15.66,22.15,38.68,83.64,0.46,9.19,24.84,0.37,18.11,24.17,0.74,2.69,3.0,29.333333333333332,3.0,30.666666666666668
Kings,Bulls,2014-2015,1,100.43,19.12,32.56,11.97,44.53,7.3,3.75,15.36,22.47,36.83,82.38,0.45,6.15,18.25,0.33,20.62,27.26,0.76,-2.22,93.72,22.41,32.86,11.51,44.37,7.17,5.19,15.05,19.79,34.43,79.73,0.43,6.17,17.76,0.35,18.68,24.15,0.78,2.74,2.0,21.5,2.0,34.5
Heat,Clippers,2014-2015,0,100.68,21.65,28.82,7.36,36.18,8.83,4.26,14.48,20.05,37.51,75.61,0.5,8.35,22.53,0.37,17.31,22.92,0.76,3.83,107.32,24.41,31.86,10.44,42.3,8.7,4.86,13.91,22.26,38.82,82.58,0.47,8.49,24.04,0.35,21.2,28.99,0.73,6.06,,,1.0,25.0
Rockets,Lakers,2014-2015,0,107.87,21.39,34.08,11.62,45.71,7.63,5.57,16.13,21.18,38.19,81.32,0.47,9.51,26.69,0.35,21.99,30.73,0.72,4.73,102.37,24.22,32.01,9.02,41.03,7.36,5.3,15.47,19.99,37.84,84.81,0.45,9.36,24.86,0.37,17.32,22.77,0.76,-5.87,1.0,34.0,1.0,48.0
Nuggets,Thunder,2014-2015,1,103.39,22.25,33.19,12.33,45.52,7.51,5.58,16.18,23.45,38.1,85.89,0.44,8.22,23.36,0.35,18.97,26.37,0.72,-2.52,104.91,21.41,33.9,10.92,44.81,7.94,6.15,15.46,22.79,38.27,82.27,0.47,7.85,22.44,0.35,20.51,25.44,0.8,5.06,1.0,27.0,3.0,24.333333333333332
Timberwolves,Knicks,2014-2015,1,106.72,23.62,32.25,12.52,44.77,8.74,3.7,14.01,18.64,38.61,87.19,0.44,7.47,21.57,0.34,22.02,28.4,0.78,3.07,98.37,19.84,29.7,10.71,40.4,7.64,4.54,13.07,22.29,36.82,82.54,0.45,9.19,24.93,0.37,15.54,20.51,0.76,-1.22,4.0,36.5,1.0,24.0
Nets,Bucks,2014-2015,0,98.26,20.66,29.35,9.13,38.48,8.51,3.77,14.77,22.16,35.57,77.5,0.46,8.5,23.36,0.36,18.6,25.0,0.75,-0.31,95.1,21.33,29.39,11.62,41.01,6.69,5.01,15.47,21.27,35.69,81.56,0.44,6.68,18.77,0.36,17.03,22.95,0.74,-7.78,1.0,22.0,2.0,29.0
Pistons,Suns,2014-2015,0,100.46,20.82,31.0,14.25,45.25,8.42,4.79,15.02,20.64,38.31,85.91,0.45,6.27,19.34,0.32,17.56,26.06,0.67,-3.36,104.67,19.16,31.84,11.39,43.23,8.38,4.62,15.66,22.15,38.68,83.64,0.46,9.19,24.84,0.37,18.11,24.17,0.74,2.69,3.0,33.666666666666664,3.0,30.666666666666668
Raptors,Grizzlies,2014-2015,1,101.02,20.73,31.43,11.26,42.69,6.98,4.08,14.7,23.5,36.1,80.91,0.45,8.4,23.02,0.36,20.42,25.89,0.79,3.21,95.54,21.71,30.79,11.57,42.36,7.86,4.33,13.86,19.55,37.49,82.12,0.46,4.88,14.24,0.34,15.69,21.39,0.73,0.3,,,3.0,52.0
Cavaliers,Spurs,2014-2015,0,97.67,21.23,32.04,12.23,44.28,7.21,3.78,14.8,20.71,36.59,84.46,0.43,7.04,19.98,0.35,17.44,23.18,0.75,-3.16,105.36,24.57,33.81,9.23,43.04,7.53,4.72,14.24,18.68,40.23,82.86,0.49,8.57,21.41,0.4,16.34,20.92,0.78,7.37,4.0,21.0,2.0,43.0
Pacers,Hornets,2014-2015,1,95.72,19.8,33.67,9.83,43.5,6.75,5.2,14.91,20.72,35.3,79.06,0.45,6.84,19.03,0.36,18.27,23.89,0.77,3.51,,,,,,,,,,,,,,,,,,,,2.0,38.0,,
Magic,Clippers,2014-2015,0,96.46,20.88,32.27,10.03,42.3,7.73,4.5,15.41,20.86,36.87,82.78,0.45,6.83,19.54,0.35,15.89,20.94,0.76,-5.34,107.32,24.41,31.86,10.44,42.3,8.7,4.86,13.91,22.26,38.82,82.58,0.47,8.49,24.04,0.35,21.2,28.99,0.73,6.06,2.0,26.5,1.0,25.0
76ers,Celtics,2014-2015,0,99.17,21.82,31.31,11.62,42.93,9.38,4.11,17.14,22.7,37.61,87.1,0.43,7.06,22.62,0.31,16.89,23.84,0.71,-10.27,96.07,21.04,30.36,11.92,42.28,7.34,4.23,15.51,21.53,36.36,83.74,0.44,6.99,21.28,0.32,16.37,21.04,0.79,-4.13,3.0,29.333333333333332,1.0,16.0
Wizards,Mavericks,2014-2015,0,99.1,22.71,31.61,10.93,42.54,8.27,4.76,14.79,20.69,37.93,83.68,0.45,7.62,20.59,0.37,15.62,21.55,0.72,1.76,103.47,23.28,30.6,10.33,40.93,8.43,4.51,13.7,20.19,39.26,83.84,0.47,8.61,22.59,0.38,16.35,20.72,0.78,2.05,3.0,31.666666666666668,2.0,28.5
Kings,Pelicans,2014-2015,0,100.43,19.12,32.56,11.97,44.53,7.3,3.75,15.36,22.47,36.83,82.38,0.45,6.15,18.25,0.33,20.62,27.26,0.76,-2.22,99.83,21.11,30.22,11.17,41.39,8.17,6.21,14.26,22.93,37.68,82.01,0.46,6.07,15.97,0.38,18.41,23.87,0.77,-1.66,2.0,21.5,1.0,6.0
Jazz,Thunder,2014-2015,1,94.72,20.36,30.49,11.17,41.66,6.96,4.56,14.92,21.03,35.83,81.39,0.44,6.61,19.08,0.35,16.44,22.23,0.74,-6.81,104.91,21.41,33.9,10.92,44.81,7.94,6.15,15.46,22.79,38.27,82.27,0.47,7.85,22.44,0.35,20.51,25.44,0.8,5.06,3.0,27.0,3.0,24.333333333333332
Bucks,Knicks,2014-2015,1,95.1,21.33,29.39,11.62,41.01,6.69,5.01,15.47,21.27,35.69,81.56,0.44,6.68,18.77,0.36,17.03,22.95,0.74,-7.78,98.37,19.84,29.7,10.71,40.4,7.64,4.54,13.07,22.29,36.82,82.54,0.45,9.19,24.93,0.37,15.54,20.51,0.76,-1.22,2.0,29.0,1.0,24.0
Hawks,Lakers,2014-2015,0,99.36,24.09,31.22,8.62,39.84,8.28,4.08,15.52,19.41,36.43,80.96,0.45,9.28,26.08,0.35,17.23,22.03,0.78,-1.24,102.37,24.22,32.01,9.02,41.03,7.36,5.3,15.47,19.99,37.84,84.81,0.45,9.36,24.86,0.37,17.32,22.77,0.76,-5.87,4.0,33.0,1.0,48.0
Clippers,Bulls,2014-2015,0,107.32,24.41,31.86,10.44,42.3,8.7,4.86,13.91,22.26,38.82,82.58,0.47,8.49,24.04,0.35,21.2,28.99,0.73,6.06,93.72,22.41,32.86,11.51,44.37,7.17,5.19,15.05,19.79,34.43,79.73,0.43,6.17,17.76,0.35,18.68,24.15,0.78,2.74,1.0,25.0,2.0,34.5
Trail Blazers,Pelicans,2014-2015,1,105.67,22.32,34.2,12.36,46.56,5.57,4.89,14.29,19.94,38.63,86.52,0.45,9.04,24.73,0.36,19.37,23.98,0.81,3.16,99.83,21.11,30.22,11.17,41.39,8.17,6.21,14.26,22.93,37.68,82.01,0.46,6.07,15.97,0.38,18.41,23.87,0.77,-1.66,4.0,33.5,1.0,6.0
Spurs,76ers,2014-2015,1,105.36,24.57,33.81,9.23,43.04,7.53,4.72,14.24,18.68,40.23,82.86,0.49,8.57,21.41,0.4,16.34,20.92,0.78,7.37,99.17,21.82,31.31,11.62,42.93,9.38,4.11,17.14,22.7,37.61,87.1,0.43,7.06,22.62,0.31,16.89,23.84,0.71,-10.27,2.0,43.0,3.0,29.333333333333332
Grizzlies,Rockets,2014-2015,1,95.54,21.71,30.79,11.57,42.36,7.86,4.33,13.86,19.55,37.49,82.12,0.46,4.88,14.24,0.34,15.69,21.39,0.73,0.3,107.87,21.39,34.08,11.62,45.71,7.63,5.57,16.13,21.18,38.19,81.32,0.47,9.51,26.69,0.35,21.99,30.73,0.72,4.73,3.0,52.0,1.0,34.0
Celtics,Suns,2014-2015,0,96.07,21.04,30.36,11.92,42.28,7.34,4.23,15.51,21.53,36.36,83.74,0.44,6.99,21.28,0.32,16.37,21.04,0.79,-4.13,104.67,19.16,31.84,11.39,43.23,8.38,4.62,15.66,22.15,38.68,83.64,0.46,9.19,24.84,0.37,18.11,24.17,0.74,2.69,1.0,16.0,3.0,30.666666666666668
Nets,Heat,2014-2015,0,98.26,20.66,29.35,9.13,38.48,8.51,3.77,14.77,22.16,35.57,77.5,0.46,8.5,23.36,0.36,18.6,25.0,0.75,-0.31,100.68,21.65,28.82,7.36,36.18,8.83,4.26,14.48,20.05,37.51,75.61,0.5,8.35,22.53,0.37,17.31,22.92,0.76,3.83,1.0,22.0,,
Pistons,Magic,2014-2015,0,100.46,20.82,31.0,14.25,45.25,8.42,4.79,15.02,20.64,38.31,85.91,0.45,6.27,19.34,0.32,17.56,26.06,0.67,-3.36,96.46,20.88,32.27,10.03,42.3,7.73,4.5,15.41,20.86,36.87,82.78,0.45,6.83,19.54,0.35,15.89,20.94,0.76,-5.34,3.0,33.666666666666664,2.0,26.5
Hornets,Mavericks,2014-2015,0,,,,,,,,,,,,,,,,,,,,103.47,23.28,30.6,10.33,40.93,8.43,4.51,13.7,20.19,39.26,83.84,0.47,8.61,22.59,0.38,16.35,20.72,0.78,2.05,,,2.0,28.5
